"C4765","wiki_books_2504","1.0"
"C4766","wiki_books_2504","1.0"
"C3600","wiki_books_10788","1.0"
"C2659","wiki_books_13605","1.0"
"C2658","wiki_books_10246","1.0"
"C3084","wiki_books_11042","0.8823529411764706"
"C3085","wiki_books_11042","0.8823529411764706"
"C3086","wiki_books_11042","0.8823529411764706"
"C2806","wiki_books_514","1.0"
"C2808","wiki_books_514","1.0"
"C2810","wiki_books_514","1.0"
"C3297","wiki_books_4420","1.0"
"C3298","wiki_books_4420","1.0"
"C386","wiki_books_794","1.0"
"C5454","wiki_books_10105","1.0"
"C5453","wiki_books_10105","1.0"
"C5447","wiki_books_10105","1.0"
"C5449","wiki_books_10105","1.0"
"C5448","wiki_books_10105","1.0"
"C5450","wiki_books_10105","1.0"
"C5452","wiki_books_10105","1.0"
"C5451","wiki_books_10105","1.0"
"C3912","wiki_books_16288","1.0"
"C249","wiki_books_1336","1.0"
"C248","wiki_books_1336","1.0"
"C4754","wiki_books_5632","1.0"
"C5140","wiki_books_14083","1.0"
"C5386","wiki_books_11603","1.0"
"C5388","wiki_books_11603","1.0"
"C5387","wiki_books_11603","1.0"
"C5389","wiki_books_11603","1.0"
"C3724","wiki_books_11189","1.0"
"C3725","wiki_books_11189","1.0"
"C3726","wiki_books_11189","1.0"
"C1205","wiki_books_4784","1.0"
"C2663","wiki_books_12718","1.0"
"C4550","wiki_books_91","1.0"
"C4551","wiki_books_91","1.0"
"C4552","wiki_books_91","1.0"
"C4553","wiki_books_91","1.0"
"C2779","wiki_books_214","1.0"
"C4491","wiki_books_1557","1.0"
"C2142","wiki_books_5274","1.0"
"C499","wiki_books_13222","1.0"
"C498","wiki_books_13222","1.0"
"C2232","wiki_books_3065","1.0"
"C616","wiki_books_11796","1.0"
"C827","wiki_books_6019","1.0"
"C928","wiki_books_4499","1.0"
"C3975","wiki_books_376","1.0"
"C2627","wiki_books_15232","1.0"
"C3442","wiki_books_16467","1.0"
"C604","wiki_books_15265","1.0"
"C603","wiki_books_15265","1.0"
"C696","wiki_books_15454","1.0"
"C695","wiki_books_15454","1.0"
"C4004","wiki_books_13741","1.0"
"C4642","wiki_books_10031","1.0"
"C4643","wiki_books_10031","1.0"
"C535","wiki_books_11723","1.0"
"C1931","wiki_books_11661","1.0"
"C1930","wiki_books_11661","1.0"
"C3354","wiki_books_4855","1.0"
"C3420","wiki_books_5527","0.9058823529411765"
"C488","wiki_books_13846","0.8"
"C4894","wiki_books_12779","1.0"
"C1956","wiki_books_13205","1.0"
"C1955","wiki_books_13205","1.0"
"C5488","wiki_books_11067","1.0"
"C3000","wiki_books_5265","1.0"
"C2585","wiki_books_11010","1.0"
"C5555","wiki_books_10390","1.0"
"C261","wiki_books_11872","1.0"
"C3323","wiki_books_6021","1.0"
"C515","wiki_books_16397","1.0"
"C1110","wiki_books_11742","1.0"
"C4422","wiki_books_675","1.0"
"C4423","wiki_books_675","1.0"
"C4424","wiki_books_675","1.0"
"C4425","wiki_books_675","1.0"
"C177","wiki_books_11383","1.0"
"C5692","wiki_books_6651","1.0"
"C2039","wiki_books_4243","1.0"
"C4672","wiki_books_4203","1.0"
"C2252","wiki_books_10774","1.0"
"C4835","wiki_books_9295","1.0"
"C4919","wiki_books_16372","1.0"
"C868","wiki_books_11929","1.0"
"C5584","wiki_books_12974","1.0"
"C5583","wiki_books_12974","1.0"
"C2769","wiki_books_9803","1.0"
"C244","wiki_books_12778","1.0"
"C4585","wiki_books_12894","1.0"
"C2147","wiki_books_10224","0.9294117647058824"
"C2982","wiki_books_13768","1.0"
"C2245","wiki_books_9478","1.0"
"C2244","wiki_books_9478","1.0"
"C4945","wiki_books_14041","1.0"
"C4058","wiki_books_6414","1.0"
"C4059","wiki_books_6414","1.0"
"C4060","wiki_books_6414","1.0"
"C5508","wiki_books_14810","1.0"
"C5509","wiki_books_14810","1.0"
"C3835","wiki_books_1691","1.0"
"C3836","wiki_books_1691","1.0"
"C3804","wiki_books_5496","1.0"
"C3805","wiki_books_5496","1.0"
"C3806","wiki_books_5496","1.0"
"C3807","wiki_books_5496","1.0"
"C959","wiki_books_7649","1.0"
"C3928","wiki_books_3344","1.0"
"C3929","wiki_books_3344","1.0"
"C3901","wiki_books_13277","1.0"
"C1459","wiki_books_8395","1.0"
"C3588","wiki_books_7655","1.0"
"C2169","wiki_books_4047","1.0"
"C2170","wiki_books_4047","1.0"
"C1881","wiki_books_11091","1.0"
"C1238","wiki_books_1530","1.0"
"C3932","wiki_books_1758","1.0"
"C3933","wiki_books_1758","1.0"
"C3934","wiki_books_1758","1.0"
"C3935","wiki_books_1758","1.0"
"C3931","wiki_books_1758","1.0"
"C150","wiki_books_8078","1.0"
"C172","wiki_books_14859","1.0"
"C235","wiki_books_2522","1.0"
"C3181","wiki_books_4591","1.0"
"C2148","wiki_books_10225","0.9294117647058824"
"C489","wiki_books_12777","1.0"
"C1772","wiki_books_936","1.0"
"C3616","wiki_books_7693","1.0"
"C2418","wiki_books_159","1.0"
"C4303","wiki_books_10524","1.0"
"C897","wiki_books_4932","1.0"
"C896","wiki_books_4932","1.0"
"C3808","wiki_books_10134","1.0"
"C3936","wiki_books_16438","1.0"
"C2602","wiki_books_1127","1.0"
"C3916","wiki_books_14910","1.0"
"C4345","wiki_books_7746","1.0"
"C2734","wiki_books_15899","1.0"
"C2733","wiki_books_15899","1.0"
"C2899","wiki_books_556","1.0"
"C2901","wiki_books_556","1.0"
"C2900","wiki_books_556","1.0"
"C1753","wiki_books_5508","1.0"
"C1755","wiki_books_5508","1.0"
"C1754","wiki_books_5508","1.0"
"C1714","wiki_books_13198","1.0"
"C1713","wiki_books_13198","1.0"
"C5292","wiki_books_8010","1.0"
"C5416","wiki_books_14916","1.0"
"C2347","wiki_books_4890","1.0"
"C2346","wiki_books_4890","1.0"
"C2345","wiki_books_4890","1.0"
"C2344","wiki_books_4890","1.0"
"C2343","wiki_books_4890","1.0"
"C2342","wiki_books_4890","1.0"
"C2341","wiki_books_4890","1.0"
"C2340","wiki_books_4890","1.0"
"C2348","wiki_books_4890","1.0"
"C2336","wiki_books_4890","1.0"
"C2335","wiki_books_4890","1.0"
"C2334","wiki_books_4890","1.0"
"C2333","wiki_books_4890","1.0"
"C2339","wiki_books_4890","1.0"
"C2338","wiki_books_4890","1.0"
"C2337","wiki_books_4890","1.0"
"C1867","wiki_books_11482","1.0"
"C1866","wiki_books_11482","1.0"
"C1865","wiki_books_11482","1.0"
"C1864","wiki_books_11482","1.0"
"C4080","wiki_books_1450","1.0"
"C4331","wiki_books_908","1.0"
"C4332","wiki_books_908","1.0"
"C4333","wiki_books_908","1.0"
"C4335","wiki_books_10580","1.0"
"C4336","wiki_books_10580","1.0"
"C2594","wiki_books_13273","1.0"
"C830","wiki_books_10045","1.0"
"C5582","wiki_books_10586","1.0"
"C5581","wiki_books_10586","1.0"
"C3109","wiki_books_15668","1.0"
"C2604","wiki_books_1128","1.0"
"C2736","wiki_books_8560","1.0"
"C2842","wiki_books_481","1.0"
"C397","wiki_books_4152","1.0"
"C2154","wiki_books_10226","0.9294117647058824"
"C2265","wiki_books_8222","1.0"
"C3595","wiki_books_12247","1.0"
"C4878","wiki_books_4377","1.0"
"C4879","wiki_books_4377","1.0"
